,id_client,nom,prenom,genre,date_de_naissance,adresse,telephone,cin,flag_mre,flag_contencieux,id_compte,id_agence
0,f99cf846-7256-4e99-a658-fbec3fa23111,Ayoub,Iyad,M,1943-10-23,"15, Fes, Badr, Maroc",212632528485,W264023,N,O,1d54d2de-e701-496f-916a-deefb2fb81e0,7106be6c-d543-48c0-b39a-4115a3f0da4e
1,4999e52f-7a5e-4ca1-9cb7-190722f71e12,Houssam,Omar,F,1939-07-27,"84, Marrakech, Qamra, Maroc",212691050335,V380033,N,N,f1b0e76a-5438-426f-aee6-296de16a2d61,8b97d05d-4e51-4764-ab60-c9eccdf70419
2,78fa2929-00b6-4f62-b529-0c661775e994,Haroun,Tazim ,M,2000-02-10,"70, Meknes, Bab El Khemis , Maroc",212607876406,P969460,O,N,f48d998b-832b-438b-abd4-9748c3eab6de,22847285-c3c9-4acb-b151-68676dd13547
3,ec6a0e8b-84a5-4941-a87d-8c2c00b40097,Mouad,Tazim ,M,1929-05-10,"85, Fes, Sidi Ghanem , Maroc",212602869733,X967368,N,N,b38c802b-a3e8-46ec-8af8-96becbb414aa,6fb0880b-261d-4334-aa52-9cb986daa693
4,c76aa29a-7357-4552-a4c9-b6550ded5f9e,Houssam,Attiq,F,1938-10-25,"38, Meknes, Belvedere , Maroc",212635660437,B737298,N,O,5e0e810f-ec71-4420-8440-d9d90e3e25af,b71a40bf-a176-4d3a-99a6-b3eebc2f300e
5,ab3ca3df-ce57-4f57-8d2f-cd14fc882965,El Mahi ,Mojiz,F,2010-07-07,"11, Casablanca, Lala Soukaina, Maroc",212620925642,Q47433,N,N,4b520310-8043-44f6-a772-4ab1bd6f7bab,999d72da-e008-4aac-8899-bfd5b5deeb17
6,59f432f3-0e51-4a88-a6f3-ad988b872f8d,Amir,Achraf,F,1930-10-15,"92, Fes, Tamansourt, Maroc",212622842670,Y296354,N,O,03335e3f-2afb-4c80-a8ef-877cb84d7552,464c1ef5-95cf-4043-9474-aede911d0cf8
7,7de6ef3d-bb98-4e57-b64d-d24a0c1b752b,Qassim,Yassine,F,1992-01-13,"82, Casablanca, Mhamid , Maroc",212611880614,J524589,N,O,58051949-7909-4fca-a7f9-9e0229b8d11a,2315f6a3-f6f9-474d-96f5-a49b129aed86
8,28bdebf6-0d35-479d-8db9-e326e32456bb,Hamza,Ibrahim,M,2011-02-28,"45, Meknes, Qamra, Maroc",212609599861,V999561,O,O,d63c4840-bcfa-464a-b4cf-81c962cc658b,68180115-67ad-4070-820e-9ed3bf851cc4
9,7d37ad26-10cb-4714-a304-817634985a55,Achraf,Ismail,M,1951-11-26,"30, Rabat, Al azhar, Maroc",212691059259,L887261,N,N,7f63cec1-ed6c-4582-939f-9bfa5f63968a,4d0586db-9fc2-48bd-afc0-4d2e453d7732
10,920ca382-b256-468a-be0c-bdd36a8e0c1c,Tazim ,Hayat,M,1966-05-28,"66, Marrakech, El Azzouzia , Maroc",212698513129,L626844,N,N,88a7da3e-4957-4486-b0b7-ac8b8ec8f811,b3187e3f-a038-4199-b162-aa4f67148505
11,3d0fe59d-c693-4a05-a3f1-bca66d7285b9,Sofian ,Ismail,M,1962-07-10,"52, Casablanca, Californie , Maroc",212632554945,M39436,N,O,869fc3c9-20c2-44a5-a332-4e240cf616cd,6e179654-14aa-47ee-a2b0-9328ce3f0d84
12,b6a514b2-b28c-4102-9f67-bf7fcd9cd368,Mohammed,Younes,M,1911-01-12,"50, Meknes, Ancienne Medina, Maroc",212662640762,F918556,O,O,81eb584d-9fdc-422a-98d3-cabda81ed4d4,d4c0cbd2-cfc1-401a-8a23-295c03f5799c
13,3492517c-356e-4452-856f-3316d67c309c,Attiq,El Mahi ,F,1959-01-03,"83, Fes, Qamra, Maroc",212641216068,O65976,O,N,8ecd8501-bd70-406e-b7b3-0537f956605b,47520d3a-e6c7-4e15-b5b8-c0baa408ee17
14,15a8cec8-e867-4eed-bc1a-bc1736a5f562,Ahmed,Ahmed,M,1921-12-07,"30, Fes, Qamra, Maroc",212614142953,J623287,N,O,cef7f113-9118-4ee5-925a-97d83eb57e5e,ab602a49-9563-4c0d-9c68-0c1d23509722
